codigo;nome;documento;fone;celular;email;rua;bairro;complemento;numero;cidade;estado
1;Venus G. Warren;1607033072799;(17) 6029-8750;(05) 6600-6976;nec.ante@mipede.co.uk;P.O. Box 797, 6990 Dolor Rd.;18202-572;Y2N 5W4;378;Jundiaí;SP
2;Kenyon L. Nolan;1645052967599;(08) 1566-8402;(65) 3010-9712;imperdiet@lorem.org;3922 Cursus. Rd.;93226-217;W2R 4F0;430;Santa Maria;RS
3;Emerald N. Weber;1643040501999;(43) 4318-0630;(01) 9089-8828;In.faucibus@egetmetus.net;196-3594 Magna Street;63764-128;Z0X 8I4;623;Juazeiro do Norte;Ceará
4;Rae U. Mckee;1671100385099;(72) 6667-8207;(94) 9119-8038;Maecenas@convallisligula.ca;Ap #964-2423 At Avenue;58430-808;W2P 7Z4;466;Cajazeiras;Paraíba
5;Chiquita E. Mccoy;1670100363599;(62) 9336-0154;(16) 4552-8091;nec.enim.Nunc@egestasrhoncus.edu;P.O. Box 158, 9823 Congue St.;37518592;N4R 4L7;566;Ribeirão das Neves;Minas Gerais
6;Clayton X. Cooley;1601091993399;(71) 4448-2658;(14) 8818-3111;parturient.montes.nascetur@laoreetipsumCurabitur.net;3983 Enim. Street;87704-107;K1C 5R8;725;Cascavel;PR
7;George Q. Abbott;1666040794299;(09) 3268-9292;(60) 1069-4303;metus.In@vestibulumMauris.edu;341-8666 Eleifend St.;53216-678;P4X 5X1;561;Petrolina;PE
8;Omar P. Byers;1648072005199;(46) 1658-9393;(66) 3103-0343;sem.eget@lectus.org;838-1446 Pede. Avenue;13395-338;N9A 3R4;73;Ribeirão Preto;SP
9;Caesar X. Parrish;1613020173399;(07) 2970-0080;(20) 5122-1055;ut@ipsum.net;Ap #121-2579 Morbi Rd.;45696-935;L1V 7S7;521;Lauro de Freitas;Bahia
10;Patrick W. Chen;1673050771299;(63) 9440-7944;(41) 6123-4568;sed.facilisis.vitae@idblandit.org;Ap #707-3034 Ut Street;65892-444;J3V 3N6;606;São Luís;Maranhão
11;Elton X. Chase;1608052173199;(01) 8586-6091;(37) 8611-2127;Donec.tempus@inconsectetueripsum.com;Ap #783-8210 Rhoncus. Street;76713-672;S8Y 3T5;64;Luziânia;GO
12;Neil Y. Coleman;1650110881799;(96) 6260-5433;(88) 3474-0987;urna.Nunc.quis@velpede.org;Ap #668-9861 Nunc Av.;67180-081;U8W 3Y0;23;Marabá;PA
13;Kerry Z. Bradshaw;1618120224499;(61) 6417-2965;(62) 1975-6482;;P.O. Box 664, 5441 Nullam St.;16682-474;Q3O 0E7;178;Guarulhos;São Paulo
14;Caleb F. Olsen;1645080280899;(71) 3669-5706;(03) 7211-7371;facilisis.magna@enimdiamvel.ca;232-5231 A, Av.;23532-866;B5Q 5R2;122;Campos dos Goytacazes;RJ
15;Anthony R. Dominguez;1639050305199;(30) 4765-3199;(78) 9489-6500;nec.eleifend.non@venenatislacus.net;P.O. Box 461, 7183 Amet Av.;26673-423;V3R 0V5;123;Niterói;Rio de Janeiro
